Timestamp,HRV
0.0,840.0
0.84,844.0
1.684,864.0
2.548,868.0
3.416,856.0
4.272,852.0
5.124,860.0
5.984,872.0
6.856,856.0
7.712,848.0
8.56,848.0
9.408,864.0
10.272,864.0
11.136,852.0
11.988,848.0
12.836,860.0
13.696,864.0
14.56,856.0
15.416,848.0
16.264,856.0
17.12,872.0
17.992,852.0
18.844,856.0
19.7,860.0
20.56,864.0
21.424,856.0
22.28,852.0
23.132,856.0
23.988,860.0
24.848,852.0
25.7,848.0
26.548,852.0
27.4,864.0
28.264,860.0
29.124,848.0
29.972,852.0
30.824,868.0
31.692,880.0
32.572,864.0
33.436,844.0
34.28,852.0
35.132,868.0
36.0,860.0
36.86,832.0
37.692,824.0
38.516,852.0
39.368,880.0
40.248,876.0
41.124,852.0
41.976,860.0
42.836,880.0
43.716,876.0
44.592,844.0
45.436,824.0
46.26,832.0
47.092,860.0
47.952,868.0
48.82,852.0
49.672,852.0
50.524,872.0
51.396,884.0
52.28,868.0
53.148,848.0
53.996,836.0
54.832,852.0
55.684,856.0
56.54,852.0
57.392,844.0
58.236,856.0
