Timestamp,HRV
0.0,872.0
0.872,852.0
1.724,848.0
2.572,864.0
3.436,868.0
4.304,860.0
5.164,840.0
6.004,840.0
6.844,864.0
7.708,868.0
8.576,856.0
9.432,844.0
10.276,852.0
11.128,876.0
12.004,876.0
12.88,856.0
13.736,836.0
14.572,852.0
15.424,872.0
16.296,860.0
17.156,840.0
17.996,836.0
18.832,864.0
19.696,880.0
20.576,860.0
21.436,844.0
22.28,852.0
23.132,872.0
24.004,868.0
24.872,848.0
25.72,840.0
26.56,856.0
27.416,872.0
28.288,860.0
29.148,848.0
29.996,856.0
30.852,860.0
31.712,860.0
32.572,848.0
33.42,848.0
34.268,860.0
35.128,860.0
35.988,860.0
36.848,868.0
37.716,868.0
38.584,864.0
39.448,852.0
40.3,848.0
41.148,852.0
42.0,844.0
42.844,840.0
43.684,844.0
44.528,864.0
45.392,884.0
46.276,872.0
47.148,860.0
48.008,864.0
48.872,868.0
49.74,852.0
50.592,832.0
51.424,832.0
52.256,848.0
53.104,864.0
53.968,864.0
54.832,856.0
55.688,868.0
56.556,880.0
57.436,868.0
