Timestamp,HRV
0.0,860.0
0.86,844.0
1.704,844.0
2.548,860.0
3.408,872.0
4.28,860.0
5.14,852.0
5.992,856.0
6.848,876.0
7.724,864.0
8.588,836.0
9.424,836.0
10.26,852.0
11.112,868.0
11.98,852.0
12.832,848.0
13.68,860.0
14.54,888.0
15.428,880.0
16.308,852.0
17.16,836.0
17.996,856.0
18.852,864.0
19.716,840.0
20.556,824.0
21.38,848.0
22.228,876.0
23.104,884.0
23.988,860.0
24.848,856.0
25.704,868.0
26.572,872.0
27.444,848.0
28.292,832.0
29.124,836.0
29.96,856.0
30.816,864.0
31.68,860.0
32.54,864.0
33.404,864.0
34.268,868.0
35.136,860.0
35.996,856.0
36.852,852.0
37.704,844.0
38.548,848.0
39.396,856.0
40.252,864.0
41.116,860.0
41.976,848.0
42.824,856.0
43.68,872.0
44.552,872.0
45.424,856.0
46.28,844.0
47.124,856.0
47.98,868.0
48.848,856.0
49.704,840.0
50.544,840.0
51.384,856.0
52.24,872.0
53.112,868.0
53.98,852.0
54.832,856.0
55.688,868.0
56.556,872.0
57.428,852.0
