Timestamp,HRV
0.0,860.0
0.86,864.0
1.724,860.0
2.584,852.0
3.436,844.0
4.28,848.0
5.128,852.0
5.98,856.0
6.836,860.0
7.696,860.0
8.556,868.0
9.424,868.0
10.292,864.0
11.156,856.0
12.012,852.0
12.864,852.0
13.716,848.0
14.564,852.0
15.416,852.0
16.268,856.0
17.124,856.0
17.98,856.0
18.836,868.0
19.704,868.0
20.572,864.0
21.436,848.0
22.284,860.0
23.144,872.0
24.016,856.0
24.872,832.0
25.704,832.0
26.536,856.0
27.392,876.0
28.268,860.0
29.128,844.0
29.972,864.0
30.836,888.0
31.724,880.0
32.604,840.0
33.444,824.0
34.268,848.0
35.116,868.0
35.984,856.0
36.84,832.0
37.672,848.0
38.52,888.0
39.408,888.0
40.296,860.0
41.156,840.0
41.996,852.0
42.848,864.0
43.712,852.0
44.564,832.0
45.396,840.0
46.236,864.0
47.1,876.0
47.976,868.0
48.844,856.0
49.7,860.0
50.56,868.0
51.428,856.0
52.284,848.0
53.132,844.0
53.976,852.0
54.828,860.0
55.688,860.0
56.548,856.0
57.404,860.0
