Annotation
"('EEG AF3 - Peak Detected', np.float64(0.4023699459600234), np.float64(0.4023699459600234))"
"('EEG AF3 - Dip Detected', np.float64(2.4181261800898497), np.float64(2.4181261800898497))"
"('EEG AF3 - Dip Detected', np.float64(2.5353213099811187), np.float64(2.5353213099811187))"
"('EEG AF3 - Peak Detected', np.float64(2.972849794908523), np.float64(2.972849794908523))"
"('EEG AF3 - Peak Detected', np.float64(3.386939253857673), np.float64(3.386939253857673))"
"('EEG AF3 - Peak Detected', np.float64(4.613581613386288), np.float64(4.613581613386288))"
"('EEG AF3 - Peak Detected', np.float64(5.7620938863207245), np.float64(5.7620938863207245))"
"('EEG AF3 - Peak Detected', np.float64(6.852008594309526), np.float64(6.852008594309526))"
"('EEG AF3 - Peak Detected', np.float64(8.76228921153721), np.float64(8.76228921153721))"
"('EEG AF3 - Peak Detected', np.float64(13.26258219936194), np.float64(13.26258219936194))"
"('EEG AF3 - Dip Detected', np.float64(14.723614818673092), np.float64(14.723614818673092))"
"('EEG AF3 - Peak Detected', np.float64(16.270590533237844), np.float64(16.270590533237844))"
"('EEG AF3 - Dip Detected', np.float64(20.54821277426916), np.float64(20.54821277426916))"
"('EEG AF3 - Peak Detected', np.float64(20.743537990754607), np.float64(20.743537990754607))"
"('EEG AF3 - Dip Detected', np.float64(21.27482257959503), np.float64(21.27482257959503))"
"('EEG AF3 - Dip Detected', np.float64(21.411550231134843), np.float64(21.411550231134843))"
"('EEG AF3 - Peak Detected', np.float64(22.73194869457647), np.float64(22.73194869457647))"
"('EEG AF3 - Peak Detected', np.float64(25.091477309720688), np.float64(25.091477309720688))"
"('EEG AF3 - Peak Detected', np.float64(25.67745295917703), np.float64(25.67745295917703))"
"('EEG AF3 - Dip Detected', np.float64(26.251709095644248), np.float64(26.251709095644248))"
"('EEG AF3 - Dip Detected', np.float64(26.450940816459408), np.float64(26.450940816459408))"
"('EEG AF3 - Dip Detected', np.float64(30.720750048831302), np.float64(30.720750048831302))"
"('EEG AF3 - Dip Detected', np.float64(31.57236799270786), np.float64(31.57236799270786))"
"('EEG AF3 - Peak Detected', np.float64(35.93202682466307), np.float64(35.93202682466307))"
"('EEG AF3 - Peak Detected', np.float64(38.46344163031448), np.float64(38.46344163031448))"
"('EEG AF3 - Peak Detected', np.float64(38.99863272348461), np.float64(38.99863272348461))"
"('EEG AF3 - Peak Detected', np.float64(39.19005143564034), np.float64(39.19005143564034))"
"('EEG AF3 - Dip Detected', np.float64(41.05345400091152), np.float64(41.05345400091152))"
"('EEG AF3 - Dip Detected', np.float64(44.100527378084514), np.float64(44.100527378084514))"
"('EEG AF3 - Peak Detected', np.float64(44.69822254052998), np.float64(44.69822254052998))"
"('EEG AF3 - Dip Detected', np.float64(46.08503157757667), np.float64(46.08503157757667))"
"('EEG AF3 - Dip Detected', np.float64(46.245198255094735), np.float64(46.245198255094735))"
"('EEG AF3 - Dip Detected', np.float64(48.01093821212319), np.float64(48.01093821212319))"
"('EEG AF3 - Dip Detected', np.float64(49.13991796340908), np.float64(49.13991796340908))"
"('EEG AF3 - Peak Detected', np.float64(49.5422879093691), np.float64(49.5422879093691))"
"('EEG AF3 - Dip Detected', np.float64(53.905853245654015), np.float64(53.905853245654015))"
"('EEG AF3 - Peak Detected', np.float64(54.19493456605248), np.float64(54.19493456605248))"
"('EEG AF3 - Dip Detected', np.float64(56.21850380884173), np.float64(56.21850380884173))"
